iter	RMSE
0	0.05738707027
1	0.05727344685
2	0.05714827814
3	0.05702032472
4	0.05690900968
5	0.05680459363
6	0.05666177608
7	0.05651481046
8	0.05643441199
9	0.05630118805
10	0.05618450849
11	0.05605128187
12	0.05592292916
13	0.05581981996
14	0.05571276888
15	0.05560709249
16	0.0554885466
17	0.05539309106
18	0.05530017863
19	0.05518911523
20	0.0550737422
21	0.05496848689
22	0.05487861711
23	0.05476862407
24	0.05465115758
25	0.05454748515
26	0.05444722788
27	0.05434385823
28	0.05425879646
29	0.05417093279
30	0.05408912143
31	0.0539777617
32	0.05386599236
33	0.05377952026
34	0.05369820311
35	0.05359361795
36	0.05351273213
37	0.05345200935
38	0.05338205427
39	0.05331163779
40	0.05324587591
41	0.05318690444
42	0.05309820864
43	0.05300654774
44	0.05291425629
45	0.05284407904
46	0.05274752491
47	0.0526538618
48	0.05257767007
49	0.05250910439
50	0.05243656701
51	0.05236800522
52	0.05229928775
53	0.0522392836
54	0.05220844895
55	0.0521221821
56	0.05207213911
57	0.05199552562
58	0.05192493288
59	0.05184451895
60	0.05175268602
61	0.05167051618
62	0.05159464311
63	0.05152962531
64	0.05147801799
65	0.05141554743
66	0.05135787028
67	0.05127885518
68	0.05121969694
69	0.05115639479
70	0.05107990098
71	0.05103694363
72	0.05098237984
73	0.05093238423
74	0.05085386214
75	0.0508109658
76	0.05076555236
77	0.05070789
78	0.05065807149
79	0.05060022851
80	0.0505469652
81	0.05049826636
82	0.05045330879
83	0.05043443818
84	0.05038916568
85	0.05032590528
86	0.05027560725
87	0.05021898349
88	0.05016404237
89	0.05011529586
90	0.05007130743
91	0.05002478772
92	0.04997054351
93	0.04992790165
94	0.04989015572
95	0.04983564668
96	0.04979205399
97	0.0497392152
98	0.04970131905
99	0.04966059387
100	0.04962067339
101	0.04956849592
102	0.04953610632
103	0.04949431956
104	0.04945083091
105	0.04941452404
106	0.04936147596
107	0.04932572489
108	0.04928816793
109	0.04926219299
110	0.04923089207
111	0.04918133221
112	0.04912493006
113	0.04910015858
114	0.04906069608
115	0.04902228223
116	0.0489736651
117	0.04893529575
118	0.04889348332
119	0.04885524967
120	0.04881421711
121	0.0487741602
122	0.04873662494
123	0.04870669794
124	0.04866026021
125	0.04862313517
126	0.04858644105
127	0.0485538056
128	0.04851636643
129	0.04848630334
130	0.04845078363
131	0.04841806952
132	0.04839357793
133	0.04834572653
134	0.04832218198
135	0.04829853024
136	0.04827185053
137	0.04824539188
138	0.04822410504
139	0.04819451749
140	0.04816058883
141	0.04813984679
142	0.04810392913
143	0.04805107319
144	0.04802961405
145	0.04799451791
146	0.04797199284
147	0.04795530243
148	0.04793597431
149	0.04791790217
150	0.04789650312
151	0.04787066699
152	0.04783508269
153	0.04780137971
154	0.04777515787
155	0.04773455662
156	0.04771883343
157	0.04768375715
158	0.04766311628
159	0.04764595405
160	0.04761666544
161	0.04759602775
162	0.04756785395
163	0.04752150251
164	0.04749152852
165	0.04746652936
166	0.04742907886
167	0.0474060989
168	0.0473812824
169	0.04735960191
170	0.04733530782
171	0.04730570819
172	0.04727423105
173	0.04724530112
174	0.04720745502
175	0.04718632573
176	0.04715863558
177	0.04713053996
178	0.04709287145
179	0.04706646399
180	0.04704156016
181	0.04702455791
182	0.04698649792
183	0.04696438793
184	0.04694747582
185	0.04692764697
186	0.04690866851
187	0.04688864726
188	0.04686812664
189	0.04683298663
190	0.0468107991
191	0.04679087594
192	0.04676813874
193	0.04674510775
194	0.04671290201
